run_accession;sample_accession;fastq_ftp;sample_alias
DRR234907;SAMD00232102;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234907/DRR234907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234907/DRR234907_2.fastq.gz";SAMD00232102
DRR234908;SAMD00232103;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234908/DRR234908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234908/DRR234908_2.fastq.gz";SAMD00232103
DRR234909;SAMD00232104;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234909/DRR234909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234909/DRR234909_2.fastq.gz";SAMD00232104
DRR234910;SAMD00232105;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234910/DRR234910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234910/DRR234910_2.fastq.gz";SAMD00232105
DRR234911;SAMD00232106;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234911/DRR234911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234911/DRR234911_2.fastq.gz";SAMD00232106
DRR234912;SAMD00232107;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234912/DRR234912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234912/DRR234912_2.fastq.gz";SAMD00232107
DRR234913;SAMD00232108;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234913/DRR234913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234913/DRR234913_2.fastq.gz";SAMD00232108
DRR234914;SAMD00232109;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234914/DRR234914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234914/DRR234914_2.fastq.gz";SAMD00232109
DRR234915;SAMD00232110;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234915/DRR234915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234915/DRR234915_2.fastq.gz";SAMD00232110
DRR234916;SAMD00232111;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234916/DRR234916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234916/DRR234916_2.fastq.gz";SAMD00232111
DRR234917;SAMD00232112;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234917/DRR234917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234917/DRR234917_2.fastq.gz";SAMD00232112
DRR234918;SAMD00232113;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234918/DRR234918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234918/DRR234918_2.fastq.gz";SAMD00232113
DRR234919;SAMD00232114;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234919/DRR234919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234919/DRR234919_2.fastq.gz";SAMD00232114
DRR234920;SAMD00232115;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234920/DRR234920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234920/DRR234920_2.fastq.gz";SAMD00232115
DRR234921;SAMD00232116;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234921/DRR234921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234921/DRR234921_2.fastq.gz";SAMD00232116
DRR234922;SAMD00232117;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234922/DRR234922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234922/DRR234922_2.fastq.gz";SAMD00232117
DRR234923;SAMD00232118;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234923/DRR234923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234923/DRR234923_2.fastq.gz";SAMD00232118
DRR234924;SAMD00232119;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234924/DRR234924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234924/DRR234924_2.fastq.gz";SAMD00232119
DRR234925;SAMD00232120;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234925/DRR234925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234925/DRR234925_2.fastq.gz";SAMD00232120
DRR234926;SAMD00232121;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234926/DRR234926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234926/DRR234926_2.fastq.gz";SAMD00232121
DRR234927;SAMD00232122;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234927/DRR234927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234927/DRR234927_2.fastq.gz";SAMD00232122
DRR234928;SAMD00232123;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234928/DRR234928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234928/DRR234928_2.fastq.gz";SAMD00232123
DRR234929;SAMD00232124;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234929/DRR234929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234929/DRR234929_2.fastq.gz";SAMD00232124
DRR234930;SAMD00232125;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234930/DRR234930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234930/DRR234930_2.fastq.gz";SAMD00232125
DRR234931;SAMD00232126;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234931/DRR234931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234931/DRR234931_2.fastq.gz";SAMD00232126
DRR234932;SAMD00232127;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234932/DRR234932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234932/DRR234932_2.fastq.gz";SAMD00232127
DRR234933;SAMD00232128;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234933/DRR234933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234933/DRR234933_2.fastq.gz";SAMD00232128
DRR234934;SAMD00232129;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234934/DRR234934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234934/DRR234934_2.fastq.gz";SAMD00232129
DRR234935;SAMD00232130;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234935/DRR234935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234935/DRR234935_2.fastq.gz";SAMD00232130
DRR234936;SAMD00232131;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234936/DRR234936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234936/DRR234936_2.fastq.gz";SAMD00232131
DRR234937;SAMD00232132;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234937/DRR234937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234937/DRR234937_2.fastq.gz";SAMD00232132
DRR234938;SAMD00232133;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234938/DRR234938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234938/DRR234938_2.fastq.gz";SAMD00232133
DRR234939;SAMD00232134;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234939/DRR234939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234939/DRR234939_2.fastq.gz";SAMD00232134
DRR234940;SAMD00232135;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234940/DRR234940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234940/DRR234940_2.fastq.gz";SAMD00232135
DRR234941;SAMD00232136;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234941/DRR234941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234941/DRR234941_2.fastq.gz";SAMD00232136
DRR234942;SAMD00232137;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234942/DRR234942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234942/DRR234942_2.fastq.gz";SAMD00232137
DRR234943;SAMD00232138;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234943/DRR234943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234943/DRR234943_2.fastq.gz";SAMD00232138
DRR234944;SAMD00232139;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234944/DRR234944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234944/DRR234944_2.fastq.gz";SAMD00232139
DRR234945;SAMD00232140;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234945/DRR234945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234945/DRR234945_2.fastq.gz";SAMD00232140
